German,English
mache ,make
komme ,come
sage ,legend
mag ,like
sieh ,see
echt ,Really
gib ,give
eigentlich ,actually
jeden ,every
dad ,dad
gab ,gave
uhr ,clock
stadt ,city
männer ,men
baby ,infant
fahren ,drive
namen ,names
bekommen ,receive
kopf ,head
hi ,Hi
gehe ,go
kleine ,small
später ,later
glück ,happiness
letzte ,last
freunde ,friends
n ,n
all ,Alles
darauf ,on it
ende ,end
dr. ,Dr.
bald ,soon
töten ,kill
dinge ,things
meinst ,mean
toll ,Great
eins ,one
minuten ,minute
vielen ,many
bereit ,ready
weit ,far
ahnung ,idea
seiner ,his
bisschen ,a little
tür ,door
auto ,automobile
jungs ,guys
eure ,your
augen ,eyes
polizei ,police
stehen ,stand
sterben ,die
hätten ,have
draußen ,outside
kenne ,know
fast ,nearly
runter ,down
vorbei ,over
treffen ,meet
gerne ,gladly
dran ,your turn
wurden ,became
arbeiten ,work
mom ,mom
verrückt ,crazy
neue ,new
ging ,went
hinter ,behind
sorgen ,care for
einzige ,only
jemanden ,someone
darum ,therefore
tochter ,daughter
braucht ,needs
idee ,idea
schwester ,sister
drin ,in it
ruhig ,quiet
sah ,saw
ganzen ,entire
spät ,late
ziemlich ,quite
solltest ,should
name ,Surname
sogar ,even
kurz ,short
kerl ,Guy
frauen ,women
liegt ,lies
suchen ,seek
finde ,find
je ,ever
woher ,from where
lang ,long
job ,job
keiner ,none
seinem ,his
hört ,hear
verstehen ,understand
spielen ,play
s. ,s.
überhaupt ,at all
teufel ,devil
verstanden ,understood
verloren ,lost
große ,size
hand ,hand
grund ,reason
jahr ,year
kommst ,come
mama ,mummy
ruhe ,quiet
gewesen ,been
tod ,death
stunden ,hours
hoffe ,hope
denkst ,thinking
oben ,above
gestern ,yesterday
versuchen ,attempt
art ,kind
letzten ,last
schatz ,treasure
endlich ,finally
he ,hey
nimm ,take
etwa ,approximately
erzählt ,told
läuft ,running
schwer ,difficult
anders ,different
miss ,miss
musste ,had to
fünf ,five
wasser ,water
lässt ,leaves
erste ,first
versucht ,tried
gekommen ,came
geschichte ,story
wenig ,few
holen ,fetch
bedeutet ,means
nett ,kind
wahrheit ,truth
woche ,week
bringt ,brings
deshalb ,for this reason
welche ,which
bestimmt ,certainly
hoch ,high
alter ,age
sagst ,say
schau ,look
ah ,uh
land ,country
zimmer ,room
wagen ,dare
vier ,four
gefallen ,fallen
spaß ,fun
niemals ,never
schuld ,fault
getötet ,killed
wollten ,wanted to
verlassen ,leave
zeigen ,show
beste ,best
ernst ,serious
unserer ,ours
denen ,whom
ort ,location
bleibt ,remains
würdest ,would
manchmal ,sometimes
glaubst ,believe
seite ,page
lasst ,leaves
zwischen ,between
eben ,even
während ,while
spiel ,game
nehme ,take
ersten ,first
guter ,goods
chance ,chance
freundin ,girlfriend
krieg ,war
gefällt ,pleases
kleinen ,small
erzählen ,tell
anderes ,other
tage ,days
entschuldigen ,excuse
wichtig ,important
gehst ,walking
allen ,all
bett ,bed
mrs. ,Mrs.
sachen ,things
the ,the
schlecht ,bad
schule ,school
entschuldigung ,excuse
wort ,word
john ,John
hättest ,would have
wären ,be
typ ,Type
schlafen ,sleep
äh ,uh
tu ,tu
euer ,your
captain ,captain
gesicht ,face
falls ,if
neuen ,new
bloß ,just
unten ,below
teil ,part
beiden ,both
mensch ,person
kleiner ,smaller
stellen ,place
oft ,often
sorge ,worries
gedacht ,thought
tust ,tust
trinken ,drink
einige ,some
dies ,this
ding ,thing
unseren ,ours
kriegen ,get
blut ,blood
ehrlich ,honest
eltern ,parents
scheint ,appears
herz ,heart
jack ,Jack
glücklich ,happy
alte ,old
alt ,old
bleib ,stay
wiedersehen ,reunite
frei ,free
wen ,whom
drauf ,on it
möglich ,possible
irgendwie ,somehow
reicht ,suffices
fest ,firmly
besten ,best
waffe ,weapon
kaum ,barely
irgendwas ,anything
klingt ,sounds
platz ,place
brauchst ,needs
rede ,speech
papa ,father
falsch ,incorrect
sondern ,rather
alten ,old
nummer ,number
früher ,earlier
jungen ,boys
wohin ,where
außer ,except
früh ,early
setzen ,set
zuerst ,first
wahrscheinlich ,probably
dürfen ,may
jede ,every
arsch ,ass
telefon ,phone
tue ,do
kennst ,know
willkommen ,welcome
plan ,plan
großen ,huge
retten ,rescue
hierher ,here
wär ,would be
bring ,bring
fehler ,mistake
wollt ,want
dollar ,dollar
zehn ,ten
allem ,all
pass ,passport
nächste ,next
stunde ,hour
hände ,hands
gegeben ,given
menge ,crowd
langsam ,slow
bereits ,already
wartet ,waiting
sechs ,six
lieben ,love
meines ,mine
büro ,office
nächsten ,next
gebe ,gift
wochen ,weeks
ruf ,call
schaffen ,create
leider ,unfortunately
scheiß ,shit
hölle ,hell
trotzdem ,despite it
doktor ,doctor
tja ,well
new ,new
voll ,full
film ,Movie
überall ,everywhere
hund ,dog
geworden ,become
direkt ,direct
wolltest ,wanted
tat ,did
denkt ,thinks
schiff ,ship
neues ,new
wem ,whom
könig ,king
danach ,thereafter
funktioniert ,functions
hattest ,hate
lernen ,learn
deswegen ,because of this
wow ,Wow
nennen ,to name
hm ,Hm
feuer ,fire
laufen ,run
alleine ,alone
erinnern ,remember
völlig ,fully
kleines ,small
könnt ,can
stelle ,Job
kumpel ,Dude
verlieren ,lose
probleme ,problems
spricht ,speaks
kaffee ,coffee
luft ,air
fand ,found
i ,I
entschuldige ,sorry
ziehen ,pull
verschwinden ,disappear
könntest ,might
seht ,look
aufhören ,stop
eigenen ,own
richtige ,right one
unserem ,ours
suche ,search
zwar ,that is
groß ,large
hol ,brow
buch ,book
krank ,sick
fühle ,feel
jedes ,every
verstehst ,understand
wert ,value
arzt ,physician
froh ,glad
versuche ,try
straße ,street
rufen ,call
heiraten ,marry
super ,Excellent
sam ,sam
lebt ,lives
gutes ,good
lasse ,let
onkel ,uncle
total ,total
gebracht ,brought
party ,party
erklären ,explain
spielt ,plays
wahl ,choice
vertrauen ,trust
damals ,at that time
tagen ,days
leicht ,light
nachdem ,after
gegangen ,gone
gefühl ,feeling
kaufen ,buy
geschafft ,done
typen ,guy
interessiert ,interested
möchten ,want
halte ,hold
hält ,holds
glaub ,belief
irgendwo ,somewhere
stück ,piece
genauso ,just as
kennt ,knows
genommen ,taken
zukunft ,future
weniger ,fewer
cool ,cool
licht ,light
getroffen ,met
himmel ,heaven
nachricht ,news
drüben ,over there
passt ,fits
sagten ,said
kümmern ,take care
laut ,loud
vergiss ,forgetful
angerufen ,called
sitzen ,sit
daß ,that
erde ,earth
großer ,greater
schlüssel ,key
rest ,rest
passieren ,happen
eher ,rather
gefragt ,asked
gefängnis ,jail
opfer ,victim
körper ,body
solche ,such
mist ,damn
mr ,mr
findet ,find
schreiben ,write
böse ,evil
gesprochen ,spoken
versuch ,attempt
vorstellen ,introduce
wovon ,About what
sobald ,as soon as
nochmal ,again
herren ,Men's
sex ,sex
waffen ,weapons
wohnung ,apartment
weh ,sore
heißen ,be called
krankenhaus ,hospital
bringe ,bring
höre ,listen
millionen ,millions
klasse ,class
hart ,hard
worden ,gone
sinn ,sense
außerdem ,aside from that
verletzt ,injured
ändern ,change
erfahren ,experience
tragen ,carry
wenigstens ,at least
vorsichtig ,cautious
daddy ,daddy
stolz ,proud
stark ,strong
fällt ,fall
möchtest ,want
leuten ,people
besonders ,particularly
schöne ,lovely
schicken ,send
person ,person
schätze ,appreciate
solange ,as long as
länger ,longer
großartig ,great
lacht ,laughs
anrufen ,call
stand ,was standing
redest ,speech
fühlen ,feel
erwartet ,expected
boden ,floor
boss ,boss
stimme ,agree
glaubt ,believes
still ,quiet
sicherheit ,security
setz ,setting
ma ,MA
mund ,mouth
kämpfen ,battle
wisst ,know
lachen ,laugh
hörst ,hear
zeug ,things
lustig ,funny
umbringen ,kill
sollst ,thorough
hasse ,hate
schlimm ,terrible
o ,O
unglaublich ,incredible
wärst ,be
laden ,load
führen ,lead
gestorben ,died
schauen ,look
meinung ,opinion
lesen ,read
mörder ,murderer
frank ,frank
ähm ,um
geschehen ,happen
geschäft ,business
idiot ,idiot
verzeihung ,forgiveness
fliegen ,fly
zeig ,show
team ,team
general ,general
mike ,Mike
aufs ,onto
york ,York
vorher ,previously
schluss ,ending
schneller ,more quickly
liebt ,loved
verdient ,earned
mögen ,like
meisten ,most
denk ,think
umgebracht ,killed
perfekt ,perfect
versprochen ,promised
handy ,mobile
hinten ,rear
monate ,months
erinnere ,remind
acht ,eight
arbeitet ,is working
fallen ,fall
rufe ,calls
nötig ,necessary
a ,A
mord ,murder
heraus ,out of here
tages ,day
unmöglich ,impossible
liebling ,darling
charlie ,Charlie
tatsächlich ,actually
folgen ,consequences
bitten ,ask
behalten ,keep
nähe ,vicinity
arbeite ,work
joe ,Joe
verdammte ,damn
plötzlich ,suddenly
lebens ,life
hole ,hole
tisch ,table
michael ,Michael
hörte ,heard
jemals ,ever
liegen ,lay
verkaufen ,sell
gefährlich ,dangerous
anfangen ,begin
bekommt ,receives
machte ,made
ha ,Ha
hotel ,hotel
hilft ,helps
werdet ,become
meister ,master
kampf ,battle
antwort ,answer
konnten ,could
geschickt ,sent
jedem ,each
obwohl ,although
sieben ,seven
komisch ,funny
gewinnen ,win
ihres ,hers
bezahlt ,paid
you ,You
voller ,full of
unterwegs ,on the way
dumm ,dumb
ärger ,aggravation
bild ,picture
george ,George
neu ,new
bezahlen ,pay
dagegen ,against it
seien ,be
starb ,died
tom ,Tom
monaten ,months
leiche ,corpse
niemanden ,nobody
auge ,eye
arschloch ,asshole
verheiratet ,married
peter ,Peter
zieh ,pull
nimmt ,takes
gerettet ,rescued
agent ,agent
traum ,dream
entscheidung ,decision
schlimmer ,worse
regeln ,regulate
fenster ,window
fangen ,catch
fort ,on
ständig ,constant
findest ,find
gefahr ,danger
absolut ,absolutely
mary ,Mary
augenblick ,moment
bescheid ,notice
rum ,rum
gedanken ,thoughts
werd ,werry
ziel ,goal
benutzt ,used
bewegung ,movement
jemandem ,someone
wünschte ,wish
worte ,words
kamen ,came
welcher ,which
